Index,Name,Sport,Position,Height,Weight,Academic Year,Previous School,Year,Hometown,High School
32.0,Phillip Bhaya,Football,DB,,,Jr.,,2012,"Haddonfield, N.J.",
33.0,Andrew Frisby,Football,CB,,,Fr.,,2012,"Tucson, Az.",
34.0,Jakobi Johnson,Football,CB,,,So.,,2012,"Aurora, Ill.",
35.0,Joe Cloud,Football,P,,,Sr.,,2012,"Edwards, Ill.",
36.0,Jonathan Esposito,Football,TB,,,So.,,2012,"West Hartford, Conn.",
37.0,DiAndre Atwater,Football,RB,,,Fr.,,2012,"Duluth, Ga.",
38.0,Nick Fekula,Football,DB,,,Fr.,,2012,"Monongahela, Pa.",
39.0,Robert Basile,Football,LB,,,Jr.,,2012,"Quakertown, Pa.",
40.0,Stephen O'Neill,Football,RB,,,Fr.,,2012,"Roseland, N.J.",
41.0,Mike Zeuli,Football,LB,,,So.,,2012,"Marlton, N.J.",
42.0,Will Powers,Football,TB,,,So.,,2012,"Jupiter, Fla.",
43.0,Kevin Navetta,Football,LB,,,Sr.,,2012,"Tyler, Texas",
44.0,Greg Kohles,Football,DB,,,Sr.,,2012,"Ridgefield Park, N.J.",
45.0,Joe Bonura,Football,FB,,,So.,,2012,"Winter Springs, Fla.",
46.0,John Ed McGee,Football,DB,,,Jr.,,2012,"Houston, Texas",
47.0,Dan Freund,Football,FB,,,Jr.,,2012,"St. Paul, Minn.",
48.0,Evan Kappatos,Football,FB,,,Fr.,,2012,"Syosset, N.Y.",
49.0,Jason Ray,Football,LB,,,Jr.,,2012,"Clarkston, Mich.",
50.0,Ray Han,Football,LB,,,Fr.,,2012,"Katy, Texas",
51.0,Brad Megay,Football,DL,,,Sr.,,2012,"Pottstown, Penn.",
52.0,Jess Patton,Football,LB,,,So.,,2012,"Murfreesboro, Tenn.",
53.0,Garrit Leicht,Football,LB,,,So.,,2012,"Louisville, Ky.",
54.0,Zach Smith,Football,RB,,,Fr.,,2012,"Pittsburg, Kan.",
55.0,Brendan Sofen,Football,K,,,So.,,2012,"Manhattan Beach, Calif.",
56.0,Brian Pourciau,Football,LB,,,Sr.,,2012,"Washington, DC",
,,Football,,,,,,2012,,
57.0,Andrew Eherts,Football,LB,,,Fr.,,2012,"Allentown, Pa.",
58.0,Jack Woodall,Football,OL,,,So.,,2012,"Cincinnati, Ohio",
59.0,Joe Smith,Football,LB,,,Fr.,,2012,"West Seneca, N.Y.",
60.0,Baxter Ingram,Football,LB,,,Fr.,,2012,"Lebanon, Tenn.",
61.0,Joe Tull,Football,OL,,,So.,,2012,"Cincinnati, Ohio",
62.0,Charlie Langerhans,Football,OL,,,Sr.,,2012,"Moorestown, N.J.",
63.0,Tom Yetter,Football,OL,,,So.,,2012,"Klein, Texas",
64.0,Marcus Stroud,Football,LB,,,Fr.,,2012,"Prosper, Texas",
65.0,Alex Polofsky,Football,LB,,,Jr.,,2012,"Matthews, N.C.",
66.0,Greg Sotereanos,Football,DL,,,Jr.,,2012,"Elizabeth, Pa.",
67.0,Tim Kingsbury,Football,LB,,,Sr.,,2012,"Palos Park, Ill.",
68.0,Jason Tiemeier,Football,DS,,,Sr.,,2012,"Dublin, Ohio",
69.0,Max Wardaki,Football,OL,,,So.,,2012,"Stamford, Conn.",
70.0,Hanur Kim,Football,OL,,,Sr.,,2012,"Plano, Texas",
71.0,Joe Goss,Football,OL,,,Jr.,,2012,"Massapequa, N.Y.",
72.0,Max Coale,Football,OL,,,Jr.,,2012,"Highland, Md.",
73.0,Ryan Peloquin,Football,OL,,,So.,,2012,"Bristol, Conn.",
74.0,Brian Sheng,Football,DL,,,Fr.,,2012,"Jericho, N.Y.",
75.0,Alec Egan,Football,OL,,,Sr.,,2012,"Abilene, Texas",
76.0,Ian McGeary,Football,DL,,,Fr.,,2012,"North Brunswick, N.J.",
77.0,Mike Ramos,Football,OL,,,So.,,2012,"Cleveland, Ohio",
78.0,Alex Dixon,Football,OL,,,Fr.,,2012,"Alpharetta, Ga.",
79.0,Michael Willis,Football,OL,,,Jr.,,2012,"Rutherford, N.J.",
80.0,Caleb Slate,Football,OL,,,Fr.,,2012,"Middleburg, Fla.",
81.0,Kevin Mill,Football,OL,,,Sr.,,2012,"West Chester, Penn.",
,,Football,,,,,,2012,,
82.0,Michael Major,Football,OL,,,Jr.,,2012,"Tulsa, Okla.",
83.0,Spenser Huston,Football,OL,,,So.,,2012,"Summit, N.J.",
84.0,Mike Catapano,Football,DL,,,Sr.,,2012,"Bayville, N.Y.",
85.0,Taylor Pearson,Football,OL,,,Jr.,,2012,"Allen, Texas",
86.0,Britt Colcolough,Football,OL,,,Fr.,,2012,"Memphis, Tenn.",
87.0,Luke Taylor,Football,WR,,,Sr.,,2012,"Carrollton, Texas",
88.0,Robby Templeton,Football,WR,,,So.,,2012,"Sacramento, Calif.",
89.0,Alex Walter,Football,TE,,,Fr.,,2012,"Haddonfield, N.J.",
90.0,Alex Powell,Football,DL,,,So.,,2012,"Tulsa, Okla.",
91.0,Dylan Jeffay,Football,WR,,,So.,,2012,"Atlanta, Ga.",
92.0,Dylan White,Football,TE,,,Fr.,,2012,"Pittsburgh, Pa.",
93.0,Shane Wilkinson,Football,WR,,,Sr.,,2012,"Lubbock, Texas",
94.0,Seth DeValve,Football,WR,,,So.,,2012,"Manchester, Conn.",
95.0,Mark Hayes,Football,TE,,,Sr.,,2012,"Tulsa, Okla.",
96.0,Tom Moak,Football,WR,,,Sr.,,2012,"Atlanta, Ga.",
97.0,Des Smith,Football,TE,,,Jr.,,2012,"Watertown, Wis.",
98.0,Chris Pondo,Football,DL,,,Jr.,,2012,"Monroeville, N.J.",
99.0,Luke Merrell,Football,LB,,,So.,,2012,"Canton, Ohio",
100.0,Joe Robin,Football,DL,,,Jr.,,2012,"Vestavia Hills, Ala.",
101.0,Matthew Skowron,Football,DL,,,Fr.,,2012,"Cary, N.C.",
102.0,Victor Prato,Football,DL,,,So.,,2012,"Lincolndale, N.Y.",
103.0,Matt Landry,Football,DL,,,Sr.,,2012,"Pittsford, N.Y.",
104.0,Dan Dreher,Football,DL,,,Fr.,,2012,"Westlake, Ohio",
105.0,Grayson Fisher,Football,DL,,,Fr.,,2012,"Upper Arlington, Ohio",
0.0,Victoria Rosenfeld,Football,DIET,,,Rs.,,2013,,
0.0,Elijah Mitchell,Football,DB,,,Sr.,,2013,"Las Vegas, Nev.",
1.0,Anthony Gaffney,Football,CB,,,So.,,2013,"Columbus, N.J.",
2.0,Roman Wilson,Football,WR,,,Sr.,,2013,"Broken Arrow, Okla.",
3.0,Quinn Epperly,Football,QB,,,Jr.,,2013,"Knoxville, Tenn.",
4.0,Nick Peabody,Football,QB/TE,,,Fr.,,2013,"West Yarmouth, Mass.",
5.0,Tyler Roth,Football,DB/P,,,Fr.,,2013,"Pittsburgh, Pa.",
6.0,Kedric Bostic,Football,QB,,,So.,,2013,"Jupiter, Fla.",
,,Football,,,,,,2013,,
7.0,Markus Phox,Football,DB,,,Fr.,,2013,"Wichita, Kan.",
8.0,Matt Arends,Football,DB,,,So.,,2013,"Prior Lake, Minn.",
9.0,Garrett Gosse,Football,QB,,,So.,,2013,"Las Vegas, Nev.",
10.0,Nolan Bieck,Football,PK,,,So.,,2013,"Fort Lauderdale, Fla.",
11.0,Max Lescano,Football,DB,,,So.,,2013,"Fort Lauderdale, Fla.",
12.0,Teddy Graves,Football,DB,,,Fr.,,2013,"Chappaqua, N.Y.",
13.0,Chad Kanoff,Football,QB,,,Fr.,,2013,"Pacific Palisades, Calif.",
14.0,Malik Jackson,Football,QB,,,Sr.,,2013,"Jacksonville, Fla.",
15.0,Caraun Reid,Football,DL,,,Sr.,,2013,"Bronx, N.Y.",
16.0,Samuel Huffman,Football,DB,,,Fr.,,2013,"Lima, Ohio",
17.0,Connor Michelsen,Football,QB,,,Jr.,,2013,"Plano, Texas",
18.0,Jack Verducci,Football,QB,,,Jr.,,2013,"Iowa City, Iowa",
19.0,Dorian Williams,Football,DB,,,Fr.,,2013,"Streetsboro, Ohio",
20.0,Isaiah Barnes,Football,WR,,,So.,,2013,"Freeport, N.Y.",
21.0,Matt Costello,Football,WR,,,Jr.,,2013,"Everett, Mass.",
22.0,Travis McHugh,Football,WR,,,So.,,2013,"Woodside, Calif.",
23.0,James Gales,Football,DB,,,Fr.,,2013,"New York, N.Y.",
24.0,Connor Kelley,Football,WR,,,Jr.,,2013,"Batesville, Ind.",
25.0,Jimmy von Thron,Football,DB,,,Jr.,,2013,"Jacksonville, Fla.",
26.0,Lawrence Wilson,Football,WR,,,Fr.,,2013,"Portland, Ore.",
27.0,Brian Mills,Football,RB,,,Sr.,,2013,"Edmond, Okla.",
28.0,Trocon Davis,Football,DB,,,Sr.,,2013,"Plymouth Meeting, Pa.",
29.0,Taylor James,Football,DB,,,Sr.,,2013,"Davie, Fla.",
30.0,Dré Nelson,Football,RB,,,So.,,2013,"Stone Mountain, Ga.",
31.0,AJ Glass,Football,RB,,,Fr.,,2013,"Lake Oswego, Ore.",
,,Football,,,,,,2013,,
32.0,John Hill,Football,DB,,,So.,,2013,"Warren, Mich",
33.0,Chris Smith,Football,DB,,,So.,,2013,"Pittsburg, Kan.",
34.0,Durelle Napier,Football,DB,,,Fr.,,2013,"Central Islip, N.Y.",
35.0,DiAndre Atwater,Football,RB,,,So.,,2013,"Duluth, Ga.",
36.0,Phillip Bhaya,Football,DB,,,Sr.,,2013,"Haddonfield, N.J.",
37.0,Connor Grogan,Football,WR,,,Fr.,,2013,"Manasquan, N.J.",
38.0,Jakobi Johnson,Football,CB,,,Jr.,,2013,"Aurora, Ill.",
39.0,Wes Moon,Football,LB,,,So.,,2013,"Superior, Colo.",
40.0,Jonathan Esposito,Football,TB,,,Jr.,,2013,"West Hartford, Conn.",
41.0,Andrew Frisby,Football,CB,,,So.,,2013,"Tucson, Az.",
42.0,Luke Catarius,Football,LB,,,Fr.,,2013,"Sandwich, Mass.",
43.0,Mike Zeuli,Football,LB,,,Jr.,,2013,"Marlton, N.J.",
44.0,Will Powers,Football,TB,,,Jr.,,2013,"Jupiter, Fla.",
45.0,Joe Rhattigan,Football,RB,,,Fr.,,2013,"Naperville, Ill.",
46.0,Trevor Osborne,Football,WR,,,Fr.,,2013,"Peoria, Az.",
47.0,Joe Bonura,Football,FB,,,Jr.,,2013,"Winter Springs, Fla.",
48.0,John Ed McGee,Football,DB,,,Sr.,,2013,"Houston, Texas",
49.0,Nick Fekula,Football,DB,,,So.,,2013,"Monongahela, Pa.",
50.0,Evan Kappatos,Football,DL,,,So.,,2013,"Syosset, N.Y.",
51.0,Jason Ray,Football,LB,,,Sr.,,2013,"Clarkston, Mich.",
52.0,Ty Desiré,Football,DL,,,Fr.,,2013,"Uniondale, N.Y.",
53.0,Ray Han,Football,LB,,,So.,,2013,"Katy, Texas",
54.0,Jess Patton,Football,LB,,,Jr.,,2013,"Murfreesboro, Tenn.",
55.0,Garrit Leicht,Football,LB,,,Jr.,,2013,"Louisville, Ky.",
56.0,Brendan Sofen,Football,K,,,Jr.,,2013,"Manhattan Beach, Calif.",
,,Football,,,,,,2013,,
57.0,Brannon Jones,Football,LB,,,Fr.,,2013,"Greenwood Village, Colo.",
58.0,Zach Smith,Football,RB,,,So.,,2013,"Pittsburg, Kan.",
59.0,Jack Woodall,Football,OL,,,Jr.,,2013,"Cincinnati, Ohio",
60.0,Jacob Cannon,Football,OL,,,Fr.,,2013,"Scarsdale, N.Y.",
61.0,Joe Smith,Football,LB,,,So.,,2013,"West Seneca, N.Y.",
62.0,Pat Hall,Football,LS,,,Fr.,,2013,"Pittsburgh, Pa.",
63.0,Joe Tull,Football,OL,,,Jr.,,2013,"Cincinnati, Ohio",
64.0,Rohan Hylton,Football,LB,,,Fr.,,2013,"Orlando, Fla.",
65.0,RJ Paige,Football,LB,,,Fr.,,2013,"West Hartford, Conn.",
66.0,Marcus Stroud,Football,LB,,,So.,,2013,"Prosper, Texas",
67.0,Alex Polofsky,Football,LB,,,Sr.,,2013,"Matthews, N.C.",
68.0,Greg Sotereanos,Football,DL,,,Sr.,,2013,"Elizabeth, Pa.",
69.0,Scott Northcutt,Football,LB,,,Fr.,,2013,"Plantation, Fla.",
70.0,Connor Moore,Football,OL,,,Fr.,,2013,"Vero Beach, Fla.",
71.0,Max Wardaki,Football,OL,,,Jr.,,2013,"Stamford, Conn.",
72.0,John Hummel,Football,DL,,,Fr.,,2013,"Ofallon, Mo.",
73.0,Joe Goss,Football,OL,,,Sr.,,2013,"Massapequa, N.Y.",
74.0,Max Coale,Football,OL,,,Sr.,,2013,"Highland, Md.",
75.0,Ryan Peloquin,Football,OL,,,Jr.,,2013,"Bristol, Conn.",
76.0,Henry Schlossberg,Football,DL,,,Fr.,,2013,"Los Angeles, Calif.",
77.0,Andrew Shafer,Football,OL,,,Jr.,,2013,"Raleigh, N.C.",
78.0,Hunter Hill,Football,DL,,,Fr.,,2013,"Roswell, Ga.",
79.0,Ian McGeary,Football,DL,,,So.,,2013,"North Brunswick, N.J.",
80.0,Mike Ramos,Football,OL,,,Jr.,,2013,"Cleveland, Ohio",
81.0,Alex Dixon,Football,OL,,,So.,,2013,"Alpharetta, Ga.",
,,Football,,,,,,2013,,
82.0,Michael Willis,Football,OL,,,Sr.,,2013,"Rutherford, N.J.",
83.0,Caleb Slate,Football,OL,,,So.,,2013,"Middleburg, Fla.",
84.0,Jack Knight,Football,OL,,,Fr.,,2013,"Charlotte, N.C.",
85.0,Michael Major,Football,OL,,,Sr.,,2013,"Tulsa, Okla.",
86.0,Spenser Huston,Football,OL,,,Jr.,,2013,"Summit, N.J.",
87.0,Mason Darrow,Football,OL,,,Fr.,,2013,"Lake Barrington, Ill.",
88.0,Alex Powell,Football,OL,,,Jr.,,2013,"Tulsa, Okla.",
89.0,Britt Colcolough,Football,OL,,,So.,,2013,"Memphis, Tenn.",
90.0,Alex Ford,Football,DB,,,Fr.,,2013,"La Canada Flintridge, Calif.",
91.0,Robby Templeton,Football,WR,,,Jr.,,2013,"Sacramento, Calif.",
92.0,Alex Walter,Football,TE,,,So.,,2013,"Haddonfield, N.J.",
93.0,Daniel McCord,Football,WR,,,Jr.,,2013,"North Babylon, N.Y.",
94.0,Dylan Jeffay,Football,WR,,,Jr.,,2013,"Atlanta, Ga.",
95.0,Dylan White,Football,TE,,,So.,,2013,"Pittsburgh, Pa.",
96.0,Evan Perkins,Football,WR,,,Fr.,,2013,"Menlo Park, Calif.",
97.0,Seth DeValve,Football,WR,,,Jr.,,2013,"Manchester, Conn.",
98.0,Scott Carpenter,Football,TE,,,Fr.,,2013,"Vienna, Va.",
99.0,James Frusciante,Football,WR,,,Fr.,,2013,"Westport, Conn.",
100.0,Des Smith,Football,TE,,,Sr.,,2013,"Watertown, Wis.",
101.0,Chris Pondo,Football,DL,,,Sr.,,2013,"Monroeville, N.J.",
102.0,Luke Merrell,Football,LB,,,Jr.,,2013,"Canton, Ohio",
103.0,Joe Robin,Football,DL,,,Sr.,,2013,"Vestavia Hills, Ala.",
104.0,Birk Olson,Football,LB,,,Fr.,,2013,"Monticello, Minn.",
105.0,Victor Prato,Football,DL,,,Jr.,,2013,"Lincolndale, N.Y.",
106.0,Matt Landry,Football,DL,,,Sr.,,2013,"Pittsford, N.Y.",
,,Football,,,,,,2013,,
107.0,Dan Dreher,Football,DL,,,So.,,2013,"Westlake, Ohio",
108.0,Dave Pennoni,Football,DL,,,Jr.,,2013,"Havertown, Pa.",
109.0,Grayson Fisher,Football,DL,,,So.,,2013,"Upper Arlington, Ohio",
0.0,Reinaldo Maristany,Football,WR,,,Fr.,,2014,"New Rochelle, N.Y.",
1.0,Anthony Gaffney,Football,CB,,,Jr.,,2014,"Columbus, N.J.",
2.0,Jacob Lewis,Football,QB,,,Fr.,,2014,"Edmond, Okla.",
3.0,Dorian Williams,Football,DB,,,So.,,2014,"Streetsboro, Ohio",
4.0,Quinn Epperly,Football,QB,,,Sr.,,2014,"Knoxville, Tenn.",
5.0,Tyler Roth,Football,DB/P,,,So.,,2014,"Pittsburgh, Pa.",
6.0,Joe Salter,Football,QB,,,Fr.,,2014,"West Caldwell, N.J.",
,,Football,,,,,,2014,,
7.0,Kedric Bostic,Football,QB,,,Jr.,,2014,"Jupiter, Fla.",
8.0,Teddy Graves,Football,DB,,,So.,,2014,"Chappaqua, N.Y.",
9.0,Matt Arends,Football,DB,,,Jr.,,2014,"Prior Lake, Minn.",
10.0,Garrett Gosse,Football,QB,,,Jr.,,2014,"Las Vegas, Nev.",
11.0,Nolan Bieck,Football,PK,,,Jr.,,2014,"Fort Lauderdale, Fla.",
12.0,Max Lescano,Football,DB,,,Jr.,,2014,"Fort Lauderdale, Fla.",
13.0,John Lovett,Football,QB,,,Fr.,,2014,"Wantagh, N.Y.",
14.0,Khamal Brown,Football,DB,,,Jr.,,2014,"Atlanta, Ga.",
